Taxonomy	Production type	Statistic class	MamA	MamB	MamM	MamO	MamE	MamN	MamK	MamH
providencia heimbachae atcc 35613	A	DZ	-	1.97847e-30 (81%)  cobalt-zinc-cadmium resistance protein 	1.83118e-21 (71%)  cobalt-zinc-cadmium resistance protein 	0.0161186 (26%)  hypothetical protein M998_2937 	5.3869e-22 (64%)  outer membrane stress sensor protease 	0.0158001 (48%)  hypothetical protein M998_3142 	0.00149838 (90%)  HscA family chaperone protein 	-	
veillonella parvula	A	DZ	-	0.000102919 (36%)  cation diffusion facilitator family transporter 	3.49078e-12 (43%)  cation diffusion facilitator family transporter 	0.000483845 (44%)  trypsin 	1.66535e-30 (85%)  trypsin 	0.00367454 (68%)  cation transporter 	0.000563252 (69%)  putative rod shape-determining protein MreB 	0.00032952 (45%)  transporter, major facilitator family protein 	
aggregatibacter actinomycetemcomitans serotype e str. sc936	A	DZ	-	2.13559e-13 (68%)  iron transporter 	6.05102e-06 (42%)  iron transporter 	0.00078205 (51%)  peptidase 	1.65642e-24 (68%)  peptidase 	0.00127215 (57%)  citrate transporter 	-	-	
campylobacter concisus unsw3	A	DZ	-	1.24874e-16 (63%)  Cobalt-zinc-cadmium resistance protein 	8.17735e-11 (58%)  Cobalt-zinc-cadmium resistance protein 	2.0178e-08 (43%)  HtrA protease 	0.0194999 (47%)  HtrA protease 	0.000128644 (69%)  hypothetical protein UNSW3_1641 	-	0.0144797 (34%)  Putative efflux protein 	
actinomyces viscosus c505	C	DZ	0.00615869 (46%)  hypothetical protein HMPREF0059_00407 	9.15068e-05 (44%)  cation diffusion facilitator family transporter 	9.93585e-11 (69%)  cation diffusion facilitator family transporter 	1.06444e-07 (47%)  hypothetical protein HMPREF0059_00541 	1.23892e-25 (71%)  hypothetical protein HMPREF0059_00541 	-	-	0.000128528 (50%)  hypothetical protein HMPREF0059_02071 	
aggregatibacter sp. oral taxon 458 str. w10330	A	DZ	-	4.15678e-13 (58%)  ferrous iron efflux protein F 	2.8801e-10 (62%)  ferrous iron efflux protein F 	0.00720935 (40%)  hypothetical protein HMPREF9065_00551 	1.43989e-23 (64%)  periplasmic serine peptidase DegS 	0.000782388 (58%)  TrkA protein 	0.000105483 (79%)  rod shape-determining protein MreB 	-	
achromobacter sp. hmsc18c08	A	DZ	-	3.49887e-31 (79%)  cobalt transporter 	8.87145e-23 (80%)  cobalt transporter 	7.95233e-10 (57%)  2-alkenal reductase 	0.00858888 (53%)  heat-shock protein 	-	-	-	
citrobacter freundii	C	DZ	0.0090799 (36%)  Vi polysaccharide export protein VexE 	0.00023731 (51%)  zinc transporter ZitB 	1.76829e-13 (59%)  divalent metal cation transporter FieF 	8.28681e-07 (54%)  outer membrane-stress sensor serine endopeptidase DegS 	7.95899e-21 (63%)  outer membrane-stress sensor serine endopeptidase DegS 	0.0478159 (35%)  citrate transporter 	-	0.0374049 (101%)  class C tetracycline resistance protein (plasmid) 	
aggregatibacter segnis	A	H	-	2.17274e-15 (66%)  ferrous iron transporter 	1.89021e-09 (65%)  ferrous iron transporter 	2.75097e-13 (48%)  serine peptidase 	9.76149e-08 (54%)  serine peptidase 	0.00371912 (57%)  SLC13 family permease 	6.65766e-06 (72%)  rod shape-determining protein 	-	
treponema denticola al-2	C	DZ	0.000312708 (30%)  hypothetical protein HMPREF9730_00601 	2.66474e-22 (70%)  cation diffusion facilitator family transporter 	1.43588e-21 (68%)  cation diffusion facilitator family transporter 	0.0211134 (36%)  hypothetical protein HMPREF9730_01252 	0.000673174 (49%)  hypothetical protein HMPREF9730_00441 	-	-	-	
eubacterium barkeri	A	H	-	2.18695e-37 (71%)  cation diffusion facilitator family transporter 	7.3245e-29 (80%)  cation diffusion facilitator family transporter 	3.95855e-08 (51%)  serine protease Do 	4.89406e-29 (78%)  serine protease Do 	-	-	-	
treponema denticola atcc 33520	C	DZ	0.0188461 (33%)  hypothetical protein HMPREF9722_00126 	6.64684e-22 (69%)  cation diffusion facilitator family transporter 	4.92945e-21 (67%)  cation diffusion facilitator family transporter 	3.45885e-06 (41%)  hypothetical protein HMPREF9722_01903 	2.89049e-05 (59%)  hypothetical protein HMPREF9722_02255 	3.92821e-06 (72%)  hypothetical protein HMPREF9722_00374 	-	-	
[eubacterium	CC	DZ	0.000759292 (39%)  TPR repeat-containing protein YrrB  angustum]	2.13704e-17 (55%)  cation-efflux pump  eligens]	8.44682e-34 (82%)  Ferrous-iron efflux pump FieF  contortum]	4.19746e-05 (44%)  serine protease Do-like HtrB  angustum]	2.93216e-25 (72%)  serine protease Do-like HtrA  angustum]	1.02719e-08 (89%)  inner membrane protein YbiR  angustum]	7.98103e-10 (86%)  rod shape-determining protein MreB  rectale]	-	
providencia rustigianii dsm 4541	A	DZ	-	2.74412e-27 (77%)  cation diffusion facilitator family transporter 	2.2445e-19 (71%)  cation diffusion facilitator family transporter 	0.000446587 (42%)  peptidase Do 	2.30518e-22 (64%)  periplasmic serine peptidase DegS 	5.62489e-11 (98%)  citrate transporter 	0.0459861 (56%)  Fe-S protein assembly chaperone HscA 	-	
aggregatibacter segnis atcc 33393	A	DZ	-	1.21557e-15 (67%)  CDF family cation diffusion facilitator FieF 	4.83221e-10 (62%)  CDF family cation diffusion facilitator FieF 	0.00158567 (45%)  periplasmic serine peptidase DegS 	1.55168e-23 (64%)  periplasmic serine peptidase DegS 	0.00350045 (57%)  DASS family divalent anion:sodium (Na+) symporter 	7.34485e-06 (72%)  exopolyphosphatase 	-	
bifidobacterium pseudocatenulatum	A	DZ	-	0.000136563 (76%)  cation transporter 	0.000107718 (66%)  cation transporter 	5.08404e-06 (42%)  peptidase 	7.03151e-25 (73%)  peptidase 	-	-	0.0496414 (30%)  permease 	
bacteroides sp. hps0048	A	DZ	-	2.9359e-36 (81%)  hypothetical protein HMPREF1214_00403 	1.28793e-30 (83%)  hypothetical protein HMPREF1214_00403 	1.47319e-13 (50%)  hypothetical protein HMPREF1214_03695 	0.0240568 (37%)  hypothetical protein HMPREF1214_03695 	0.0344879 (40%)  hypothetical protein HMPREF1214_03428 	-	-	
providencia sneebia dsm 19967	A	DZ	-	2.94198e-33 (81%)  cation efflux protein 	8.2488e-25 (75%)  cation efflux protein 	0.0210736 (40%)  serine endoprotease 	2.93605e-23 (66%)  serine endoprotease 	3.07207e-12 (89%)  transporter 	6.08344e-05 (71%)  rod shape-determining protein MreB 	-	
ruminococcus callidus atcc 27760	A	DZ	-	9.50351e-17 (54%)  cation diffusion facilitator family transporter 	1.2489e-15 (62%)  cation diffusion facilitator family transporter 	0.000162184 (44%)  serine protease do-like HtrA family protein 	1.179e-28 (77%)  serine protease do-like HtrA family protein 	-	9.87376e-09 (84%)  rod shape-determining protein MreB 	-	
morganella morganii	A	DZ	-	0.0495998 (34%)  cation transporter, partial 	2.58172e-09 (41%)  cobalt transporter, partial 	1.81781e-06 (41%)  serine endoprotease DegQ 	1.42009e-22 (64%)  outer membrane-stress sensor serine endopeptidase DegS 	0.0372293 (37%)  Anion transporter, partial 	0.00029594 (56%)  molecular chaperone HscA 	0.0139099 (33%)  MFS transporter 	
methanobrevibacter smithii	CC	DZ	0.0108703 (37%)  hypothetical protein 	7.13451e-31 (74%)  cation transporter 	8.00051e-22 (68%)  cation transporter 	9.28626e-05 (34%)  serine protease 	1.30852e-19 (55%)  serine protease 	-	2.18983e-18 (88%)  rod shape-determining protein 	-	
anaerobiospirillum succiniciproducens	A	DZ	-	1.89323e-10 (63%)  hypothetical protein 	2.23683e-11 (72%)  hypothetical protein 	0.0235672 (33%)  anion permease 	1.35528e-21 (71%)  hypothetical protein 	0.0125308 (48%)  transporter 	0.00701536 (85%)  rod shape-determining protein 	0.0483901 (29%)  MFS transporter 	
providencia alcalifaciens pal-1	A	DZ	-	6.06814e-32 (84%)  cation diffusion facilitator family transporter 	2.539e-25 (73%)  cation diffusion facilitator family transporter 	0.000478598 (42%)  protease DegQ 	2.31385e-22 (65%)  periplasmic serine peptidase DegS 	0.0440948 (45%)  anaerobic C4-dicarboxylate transporter DcuA 	0.00163615 (58%)  Fe-S protein assembly chaperone HscA 	3.06628e-05 (39%)  transporter, major facilitator family protein 	
veillonella sp. as16	A	DZ	-	0.000134837 (36%)  cation diffusion facilitator family transporter 	3.10262e-13 (81%)  cation diffusion facilitator family transporter 	5.76598e-05 (46%)  trypsin-like peptidase domain protein 	4.23722e-32 (88%)  trypsin-like peptidase domain protein 	0.00916811 (40%)  transporter, DASS family 	1.24194e-07 (80%)  cell shape determining protein, MreB/Mrl family 	-	
actinomyces sp. hmsc08a09	A	H	-	3.1453e-11 (67%)  transporter 	4.53295e-09 (70%)  transporter 	1.13213e-05 (46%)  trypsin 	1.19295e-23 (71%)  trypsin 	-	-	0.0145961 (48%)  MFS transporter permease 	
enterococcus faecalis tx1346	A	DZ	-	1.0591e-15 (66%)  cation diffusion facilitator family transporter 	8.92269e-19 (54%)  cation diffusion facilitator family transporter 	0.0167599 (46%)  trypsin 	1.13137e-22 (84%)  trypsin 	-	-	0.00931763 (37%)  transporter, major facilitator family protein 	
peptostreptococcus anaerobius	A	H	-	2.0835e-13 (58%)  cation diffusion facilitator family transporter 	3.96487e-12 (41%)  cation diffusion facilitator family transporter 	6.31272e-06 (42%)  trypsin 	2.06877e-25 (72%)  trypsin 	-	6.69202e-07 (82%)  rod shape-determining protein MreB 	-	
aeromonas enteropelogenes	A	DZ	-	2.92954e-28 (82%)  cation transporter 	2.09564e-21 (75%)  cation transporter 	8.97586e-06 (52%)  outer membrane-stress sensor serine endopeptidase DegS 	0.00158484 (57%)  serine endoprotease DegQ 	5.38827e-06 (55%)  Anion transporter 	-	-	
ruminococcus bromii	A	DZ	-	1.36366e-16 (60%)  cation diffusion facilitator family transporter 	0.0499508 (32%)  chromosomal replication initiator protein 	0.000154649 (48%)  serine protease Do 	3.00222e-25 (88%)  serine protease Do 	-	3.00808e-09 (81%)  rod shape-determining protein MreB 	-	
aeromonas dhakensis	C	DZ	0.000115815 (33%)  type IV pilus biogenesis/stability protein PilW 	2.52054e-30 (79%)  cation transporter 	1.12028e-22 (76%)  cation transporter 	5.73423e-06 (50%)  outer membrane-stress sensor serine endopeptidase DegS 	7.0419e-09 (59%)  serine endoprotease DegQ 	7.5871e-06 (54%)  Anion transporter 	-	0.000559978 (38%)  hypothetical protein A9196_15330 	
campylobacter concisus	A	H	-	9.85911e-16 (64%)  cation diffusion facilitator family transporter 	9.49662e-11 (59%)  cation-efflux pump 	1.60805e-08 (44%)  serine protease 	7.35655e-29 (76%)  serine protease 	0.0015225 (67%)  sodium:proton antiporter 	-	0.0412856 (34%)  MFS transporter 	
providencia stuartii	A	DZ	-	2.80408e-31 (81%)  cobalt transporter 	1.39929e-20 (71%)  cobalt transporter 	0.00639842 (40%)  peptidase Do family protein 	1.38795e-22 (64%)  outer membrane-stress sensor serine endopeptidase DegS 	0.00941734 (44%)  membrane protein 	0.00274114 (56%)  molecular chaperone HscA 	0.00485315 (40%)  MFS transporter 	
bifidobacterium adolescentis	A	DZ	-	0.000309052 (28%)  cation transporter 	2.42162e-06 (62%)  cation transporter 	1.39932e-06 (44%)  trypsin 	1.83415e-24 (71%)  peptidase 	-	-	0.0425589 (76%)  permease 	
veillonella atypica kon	A	DZ	-	8.56932e-16 (58%)  cation diffusion facilitator family transporter 	2.01495e-13 (75%)  cation diffusion facilitator family transporter 	0.0249065 (45%)  trypsin 	7.19843e-31 (86%)  trypsin 	0.000218581 (92%)  transporter, DASS family 	5.45839e-06 (80%)  putative rod shape-determining protein MreB 	-	
plesiomonas shigelloides 302-73	A	DZ	-	0.0137608 (38%)  P-type HAD superfamily ATPase 	7.54679e-05 (52%)  cation diffusion facilitator family transporter 	2.75523e-06 (44%)  serine endoprotease 	1.03873e-23 (69%)  serine endoprotease 	-	-	0.0338332 (31%)  multidrug efflux system protein MdtL 	
peptostreptococcus russellii	CC	DZ	0.0305851 (26%)  Tetratricopeptide repeat-containing protein 	7.62125e-43 (83%)  cation diffusion facilitator family transporter 	2.72311e-34 (79%)  cation diffusion facilitator family transporter 	1.85541e-05 (50%)  serine protease, S1-C subfamily, contains C-terminal PDZ domain 	3.19838e-27 (78%)  serine protease, S1-C subfamily, contains C-terminal PDZ domain 	-	0.00653202 (46%)  molecular chaperone DnaK 	-	
achromobacter sp. 2789stdy5608633	A	H	-	5.24381e-30 (76%)  Ferrous-iron efflux pump FieF 	6.02217e-22 (81%)  Ferrous-iron efflux pump FieF 	1.085e-09 (71%)  Periplasmic serine endoprotease DegP precursor 	9.58721e-05 (57%)  Periplasmic serine endoprotease DegP precursor 	-	-	-	
alcaligenes faecalis	C	DZ	0.0304358 (33%)  pilus assembly protein 	4.35999e-33 (81%)  cobalt transporter 	1.20854e-29 (79%)  cobalt transporter 	4.92275e-05 (43%)  membrane protein 	0.00170894 (48%)  RIP metalloprotease RseP 	0.038653 (64%)  arsenical efflux pump membrane protein ArsB 	-	0.0445525 (42%)  hypothetical protein ASL22_05045 	
neisseria sicca atcc 29256	A	DZ	-	8.29523e-12 (64%)  cadmium, cobalt and zinc/H(+)-K(+) antiporter 	0.0151356 (27%)  cadmium, cobalt and zinc/H(+)-K(+) antiporter 	0.00612778 (72%)  hypothetical protein NEISICOT_02978 	0.0076001 (26%)  putative RIP metalloprotease RseP 	-	0.000584829 (81%)  Fe-S protein assembly chaperone HscA 	-	
treponema denticola sp23	CC	DZ	0.00279017 (36%)  hypothetical protein HMPREF9731_02652 	3.23567e-21 (68%)  cation diffusion facilitator family transporter 	7.40582e-21 (67%)  cation diffusion facilitator family transporter 	3.67393e-06 (41%)  hypothetical protein HMPREF9731_00211 	3.55155e-05 (59%)  hypothetical protein HMPREF9731_02478 	3.66178e-06 (72%)  hypothetical protein HMPREF9731_01772 	0.000608964 (77%)  MreB/Mrl family cell shape determining protein 	-	
escherichia coli	CC	DZ	0.0290097 (38%)  hypothetical protein OK10_23525 	3.18229e-15 (69%)  cation-efflux pump FieF 	6.92668e-11 (59%)  cation-efflux pump FieF 	1.04243e-09 (50%)  protease Do precursor 	2.49578e-08 (55%)  serine endoprotease DegQ, partial 	-	0.00588847 (77%)  rod shape-determining protein 	0.000988798 (51%)  MFS transporter 	
uncultured eubacterium sp.	A	H	-	1.15402e-17 (66%)  Ferrous-iron efflux pump FieF 	4.07634e-16 (70%)  Ferrous-iron efflux pump FieF 	1.9571e-05 (48%)  Putative serine protease HtrA 	1.39317e-22 (77%)  Periplasmic serine endoprotease DegP precursor 	8.09504e-27 (101%)  Arsenic efflux pump protein 	3.53137e-10 (79%)  Rod shape-determining protein MreB 	-	
achromobacter sp. kas 3-5	A	H	-	7.80998e-29 (77%)  cation-efflux pump 	7.51906e-21 (89%)  cation-efflux pump 	2.25813e-08 (42%)  serine peptidase 	2.97402e-35 (83%)  2-alkenal reductase, partial 	0.00847017 (46%)  SLC13 family permease 	-	-	
eubacterium callanderi	A	H	-	4.91234e-33 (71%)  cation diffusion facilitator family transporter 	4.90897e-33 (81%)  cation diffusion facilitator family transporter 	2.99594e-07 (48%)  serine protease Do 	2.75129e-28 (80%)  serine protease Do 	1.50192e-06 (81%)  anion transporter 	-	-	
yersinia enterocolitica lc20	A	DZ	-	3.19018e-09 (62%)  Zinc transporter ZitB 	2.34388e-05 (57%)  Zinc transporter ZitB 	3.17439e-07 (45%)  Protease Do 	0.000665077 (52%)  Protease Do 	-	0.0283555 (56%)  Hsc66 	1.34164e-05 (47%)  Inner membrane transport protein YajR 	
enterobacter cloacae p101	A	H	-	3.38432e-30 (85%)  cobalt transporter 	1.24672e-24 (86%)  cobalt transporter 	1.66641e-10 (50%)  serine endoprotease 	1.53247e-08 (60%)  serine endoprotease 	-	-	-	
providencia rettgeri	A	DZ	-	3.03792e-29 (78%)  cobalt transporter, partial 	3.17214e-18 (67%)  cobalt transporter, partial 	0.00430601 (75%)  anion permease 	3.11477e-22 (64%)  Serine endoprotease DegS 	0.0418503 (45%)  C4-dicarboxylate transporter 	0.0318845 (55%)  chaperone protein HscA 	-	
achromobacter xylosoxidans	A	H	-	3.25307e-23 (65%)  cobalt transporter, partial 	1.83016e-13 (66%)  cobalt transporter, partial 	1.72103e-09 (56%)  2-alkenal reductase 	9.04598e-08 (41%)  2-alkenal reductase 	-	0.000615254 (83%)  rod shape-determining protein 	0.00131465 (93%)  tetracycline resistance MFS efflux pump 	
aggregatibacter actinomycetemcomitans sc383s	A	H	-	2.96032e-15 (73%)  iron transporter 	3.06595e-08 (63%)  iron transporter 	1.83752e-12 (47%)  serine peptidase 	1.16331e-06 (53%)  serine peptidase 	0.0130236 (78%)  transporter 	-	-	
aeromonas caviae	A	DZ	-	6.92772e-29 (81%)  cation-efflux pump 	2.37778e-20 (86%)  cation-efflux pump 	1.06594e-05 (49%)  outer membrane-stress sensor serine endopeptidase DegS 	0.000139368 (57%)  serine endoprotease DegQ 	-	-	-	
providencia alcalifaciens 205/92	A	DZ	-	1.96851e-31 (84%)  cation diffusion facilitator family transporter 	1.10126e-23 (71%)  cation diffusion facilitator family transporter 	0.000549662 (42%)  protease DegQ 	3.11477e-22 (64%)  periplasmic serine peptidase DegS 	0.0429579 (45%)  anaerobic C4-dicarboxylate transporter DcuA 	0.00443333 (56%)  Fe-S protein assembly chaperone HscA 	1.22207e-05 (40%)  transporter, major facilitator family protein 	
eubacterium pyruvativorans	A	DZ	-	6.59573e-21 (68%)  cation diffusion facilitator family transporter 	4.0497e-30 (86%)  cation diffusion facilitator family transporter 	0.000103849 (41%)  serine protease Do 	1.06199e-22 (69%)  serine protease Do 	4.05108e-22 (97%)  possible tyrosine transporter P-protein 	2.96923e-09 (88%)  rod shape-determining protein MreB 	-	
treponema denticola h-22	C	DZ	0.0119124 (33%)  hypothetical protein HMPREF9726_01860 	4.0316e-21 (67%)  cation diffusion facilitator family transporter 	7.33269e-21 (66%)  cation diffusion facilitator family transporter 	2.449e-07 (44%)  protease Do 	9.33547e-07 (48%)  protease Do 	6.59312e-06 (72%)  hypothetical protein HMPREF9726_01625 	-	-	
achromobacter sp. root170	C	DZ	0.014102 (36%)  hypothetical protein ASD87_25490 	4.89663e-30 (78%)  cobalt transporter 	1.48259e-21 (85%)  cobalt transporter 	1.71523e-10 (55%)  2-alkenal reductase 	5.41054e-05 (36%)  2-alkenal reductase 	-	-	-	
flavobacterium xanthum	A	H	-	4.72291e-29 (69%)  cation diffusion facilitator family transporter 	3.0169e-20 (75%)  cation diffusion facilitator family transporter 	1.24218e-12 (50%)  Do/DeqQ family serine protease 	1.84667e-32 (74%)  Do/DeqQ family serine protease 	-	-	-	
neisseria lactamica	A	DZ	-	1.77504e-10 (65%)  Hsp12 variant C 	0.0275889 (50%)  hypothetical protein B2G52_05045 	2.39377e-08 (52%)  protease Do 	0.000730992 (52%)  protease Do 	-	2.13124e-08 (85%)  rod shape-determining protein 	-	
acinetobacter calcoaceticus ruh2202	A	DZ	-	0.000841005 (59%)  cation diffusion facilitator family transporter 	3.01984e-06 (37%)  putative cadmium, cobalt and zinc/H(+)-K(+) antiporter 	4.10786e-05 (34%)  hypothetical protein HMPREF0012_00982 	6.82843e-12 (56%)  serine protease MucD 	-	3.87714e-06 (53%)  Fe-S protein assembly chaperone HscA 	-	
veillonella atypica	A	DZ	-	0.00152435 (34%)  cation transporter 	1.68317e-12 (75%)  cation transporter 	0.0133077 (45%)  trypsin 	1.69702e-30 (85%)  trypsin 	0.0440506 (42%)  cation transporter 	6.13014e-06 (80%)  putative rod shape-determining protein MreB 	0.016653 (38%)  transporter, major facilitator family protein 	
campylobacter gracilis	A	DZ	-	1.89781e-16 (56%)  putative Co/Zn/Cd cation transporter 	1.16879e-13 (67%)  putative Co/Zn/Cd cation transporter 	1.36307e-10 (47%)  periplasmic heat shock serine protease HtrA, Do family 	0.000161966 (49%)  periplasmic heat shock serine protease HtrA, Do family 	0.00105093 (38%)  DASS family sodium/dicarboxylate symporter 	1.03749e-12 (94%)  cell wall shape-determining protein 	-	
